Date,Team,Opponent,Player,Minutes,FieldGoalAttempts,FieldGoalMade,Assits,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Turnovers,Points,OffensiveEfficiency,EfficientPointsScored,RawEOP,Win
12/29/2020,Kaukauna,Pius XI Catholic,3,27,5,2,1,1,4,5,2,2,0.428571429,0.857142857,1.182857143,Yes
12/30/2020,Kaukauna,Greendale,3,21,6,3,1,1,1,2,3,1,0.444444444,0.444444444,0.782222222,Yes
1/5/2021,Kaukauna,Appleton West,3,22,9,4,3,3,0,3,5,1,0.5,0.5,1.64,Yes
1/7/2021,Kaukauna,Appleton North,3,33,7,5,0,0,0,0,1,3,0.625,1.875,1.875,Yes
1/11/2021,Kaukauna,Seymour,3,29,6,4,0,0,2,2,2,3,0.5,1.5,1.5,Yes
1/12/2021,Kaukauna,Neenah,3,35,11,6,1,1,1,2,1,3,0.583333333,1.75,2.193333333,No
1/15/2021,Kaukauna,Oshkosh West,3,35,12,4,2,2,1,3,1,1,0.461538462,0.461538462,1.163076923,Yes
1/16/2021,Kaukauna,Tomah,3,21,10,5,0,0,1,1,1,3,0.454545455,1.363636364,1.363636364,No
1/19/2021,Kaukauna,Green Bay Southwest,3,29,11,6,0,0,0,0,1,1,0.5,0.5,0.5,Yes
1/22/2021,Kaukauna,Hortonville,3,30,7,3,0,0,1,1,0,0,0.428571429,0,0,Yes
1/23/2021,Kaukauna,Appleton West,3,23,6,4,0,0,1,1,4,1,0.4,0.4,0.4,Yes
1/29/2021,Kaukauna,Kimberly,3,26,6,2,0,0,2,2,1,1,0.285714286,0.285714286,0.285714286,No
2/2/2021,Kaukauna,Appleton East,3,26,5,2,0,0,0,0,1,0,0.333333333,0,0,No
12/3/2020,Kaukauna,Appleton North,11,11,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,Yes
12/4/2020,Kaukauna,Oshkosh West,11,16,1,0,2,0,0,0,0,0,0.666666667,0,1.013333333,Yes
12/8/2020,Kaukauna,Appleton East,11,12,0,0,0,0,1,1,1,0,0,0,0,Yes
12/11/2020,Kaukauna,Hortonville,11,16,4,3,1,2,1,3,1,8,1,8,8.76,Yes
12/12/2020,Kaukauna,De Pere,11,21,3,1,0,1,1,2,2,3,0.25,0.75,0.75,No
12/15/2020,Kaukauna,Kimberly,11,18,7,2,0,0,0,0,1,9,0.25,2.25,2.25,No
12/18/2020,Kaukauna,Oshkosh North,11,24,3,2,2,1,0,1,1,5,0.8,4,5.216,No
1/5/2021,Kaukauna,Appleton West,11,9,1,0,0,0,0,0,1,0,0,0,0,Yes
1/11/2021,Kaukauna,Seymour,11,8,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,Yes
1/16/2021,Kaukauna,Tomah,11,14,3,0,0,0,0,0,1,4,0,0,0,No
1/19/2021,Kaukauna,Green Bay Southwest,11,10,2,0,1,0,0,0,0,0,0.333333333,0,0.253333333,Yes
1/22/2021,Kaukauna,Hortonville,11,3,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,Yes
1/23/2021,Kaukauna,Appleton West,11,9,0,0,1,0,1,1,1,0,0.5,0,0.38,Yes
1/29/2021,Kaukauna,Kimberly,11,15,4,2,0,0,0,0,0,6,0.5,3,3,No
12/15/2020,Kaukauna,Kimberly,14,1,2,0,0,0,0,0,0,0,0,0,0,No
12/23/2020,Kaukauna,Neenah,14,5,5,1,0,0,0,0,0,2,0.2,0.4,0.4,No
1/5/2021,Kaukauna,Appleton West,14,6,1,0,0,0,1,1,0,0,0,0,0,Yes
1/22/2021,Kaukauna,Hortonville,14,3,3,1,0,0,0,0,0,3,0.333333333,1,1,Yes
1/23/2021,Kaukauna,Appleton West,14,4,2,1,0,0,0,0,0,3,0.5,1.5,1.5,Yes
1/29/2021,Kaukauna,Kimberly,14,2,2,1,0,0,0,0,0,2,0.5,1,1,No
