DateOfGame,Team,Opponent,PointsScored,FieldGoalAttempts,FieldGoalsMade,OffensiveRebounds,Assists,Turnovers,WinOrLoss,OffensiveEfficiency,EfficientPointsScored,RawEOP
12/11/2020,Fond du Lac,Appleton East,67,68,30,8,16,12,Win,0.522727273,35.02272727,41.37909091
12/12/2020,Fond du Lac,Brookfield East,57,44,20,6,4,16,Loss,0.413793103,23.5862069,24.84413793
12/15/2020,Fond du Lac,Oshkosh North,74,52,21,6,13,14,Win,0.465753425,34.46575342,39.06739726
12/18/2020,Fond du Lac,Appleton North,71,58,24,11,13,15,Loss,0.493333333,35.02666667,39.9008
12/21/2020,Fond du Lac,Kaukauna,77,49,25,4,13,10,Win,0.558823529,43.02941176,48.55058824
12/30/2020,Fond du Lac,West Bend East,61,40,18,10,11,17,Win,0.5,30.5,34.68
1/2/2021,Fond du Lac,Ashwaubenon,65,47,23,7,13,4,Loss,0.631578947,41.05263158,47.29263158
1/5/2021,Fond du Lac,Neenah,50,35,18,2,13,16,Win,0.5,25,29.94
1/8/2021,Fond du Lac,Appleton West,58,49,19,10,8,13,Win,0.45,26.1,28.836
1/12/2021,Fond du Lac,Oshkosh West,69,41,19,4,12,12,Win,0.508196721,35.06557377,39.70032787
1/18/2021,Fond du Lac,Oak Creek,82,45,22,10,14,6,Win,0.654545455,53.67272727,60.63709091
1/22/2021,Fond du Lac,Appleton East,76,46,28,1,17,5,Win,0.671641791,51.04477612,59.72238806
1/23/2021,Fond du Lac,Neenah,53,42,18,2,12,9,Loss,0.491803279,26.06557377,30.55081967
1/25/2021,Fond du Lac,Oshkosh West,66,52,22,9,13,14,Win,0.5,33,37.94
1/29/2021,Fond du Lac,Oshkosh North ,81,46,29,3,20,12,Win,0.653333333,52.92,62.85066667
12/4/2020,Hortonville,Oshkosh North,87,63,32,14,9,11,Win,0.594202899,51.69565217,55.76
12/8/2020,Hortonville,Fond du Lac,70,61,24,12,12,15,Win,0.473684211,33.15789474,37.47789474
12/11/2020,Hortonville,Kaukauna,66,62,28,15,16,21,Loss,0.523809524,34.57142857,40.94095238
12/15/2020,Hortonville,Neenah,67,50,25,8,13,14,Loss,0.550724638,36.89855072,42.33971014
12/18/2020,Hortonville,Appleton West,74,73,26,17,17,12,Win,0.505882353,37.43529412,43.97129412
12/22/2020,Hortonville,Appleton East,55,50,23,6,17,15,Loss,0.526315789,28.94736842,35.74736842
12/29/2020,Hortonville,New London,59,57,25,12,10,18,Loss,0.479452055,28.28767123,31.93150685
1/5/2021,Hortonville,Oshkosh West,71,59,28,12,16,9,Win,0.611111111,43.38888889,50.82
1/12/2021,Hortonville,Appleton North,66,65,25,15,17,11,Win,0.538461538,35.53846154,42.49538462
1/15/2021,Hortonville,Oshkosh North,69,65,28,12,19,16,Win,0.534090909,36.85227273,44.56454545
1/18/2021,Hortonville,Appleton North,48,53,13,11,9,15,Loss,0.333333333,16,18.28
1/19/2021,Hortonville,West De Pere,75,50,25,13,12,19,Win,0.544117647,40.80882353,45.77117647
1/21/2021,Hortonville,Oshkosh West,62,53,22,10,12,15,Loss,0.485714286,30.11428571,34.544
1/22/2021,Hortonville,Kaukauna,57,58,23,7,6,13,Loss,0.414285714,23.61428571,25.50342857
1/25/2021,Hortonville,Seymour,53,46,21,7,11,11,Loss,0.524590164,27.80327869,32.18885246
1/29/2021,Hortonville,Neenah,59,45,19,8,15,20,Loss,0.472222222,27.86111111,33.24444444
12/4/2020,Kimberly,Fond du Lac,105,64,43,6,26,4,Win,0.784090909,82.32954545,97.82318182
12/8/2020,Kimberly,Oshkosh West,70,59,27,10,14,7,Win,0.585714286,41,47.232
12/11/2020,Kimberly,Oshkosh North,108,75,40,14,17,8,Win,0.662790698,71.58139535,80.14465116
12/15/2020,Kimberly,Kaukauna,103,70,43,13,21,12,Win,0.711111111,73.24444444,84.59377778
12/18/2020,Kimberly,Neenah,56,52,23,21,11,7,Loss,0.693877551,38.85714286,44.65795918
12/21/2020,Kimberly,Appleton West,90,54,32,9,16,12,Win,0.657534247,59.17808219,67.17369863
12/23/2020,Kimberly,Pewaukee,83,66,32,8,17,5,Win,0.6125,50.8375,58.751
12/29/2020,Kimberly,Menomonee Falls,63,65,24,5,9,9,Loss,0.423076923,26.65384615,29.54769231
12/30/2020,Kimberly,Seymour,77,56,35,9,20,10,Win,0.714285714,55,65.85714286
1/19/2021,Kimberly,Appleton East,84,65,35,10,17,7,Win,0.658227848,55.29113924,63.79544304
1/21/2021,Kimberly,Appleton North,78,55,32,8,19,6,Win,0.708333333,55.25,65.47833333
1/22/2021,Kimberly,Oshkosh North,83,59,35,11,23,9,Win,0.725,60.175,72.848
1/23/2021,Kimberly,Sussex Hamilton,84,61,34,10,18,13,Win,0.634146341,53.26829268,61.94341463
12/1/2020,Neenah,Appleton East,73,58,29,12,14,9,Win,0.623188406,45.49275362,52.12347826
12/5/2020,Neenah,Appleton North,87,64,33,13,19,7,Win,0.675324675,58.75324675,68.50493506
12/8/2020,Neenah,Appleton West,85,60,32,17,18,8,Win,0.724637681,61.5942029,71.50724638
12/11/2020,Neenah,Oshkosh West,80,49,31,8,22,19,Win,0.646341463,51.70731707,62.51414634
12/15/2020,Neenah,Hortonville,77,56,28,14,21,15,Win,0.628205128,48.37179487,58.39794872
12/18/2020,Neenah,Kimberly,62,52,22,7,11,7,Win,0.523809524,32.47619048,36.8552381
12/21/2020,Neenah,Oshkosh North,83,53,28,11,21,11,Win,0.662162162,54.95945946,65.52756757
12/23/2020,Neenah,Kaukauna,78,53,31,6,21,7,Win,0.693333333,54.08,65.1456
12/30/2020,Neenah,Bay Port,85,53,30,11,17,16,Win,0.626666667,53.26666667,61.3632
1/2/2021,Neenah,Pewaukee,77,55,30,5,18,7,Loss,0.64,49.28,58.0352
1/5/2021,Neenah,Fond du Lac,67,53,28,9,20,9,Win,0.657534247,44.05479452,54.04931507
1/9/2021,Neenah,Appleton East,59,44,23,5,12,11,Win,0.564516129,33.30645161,38.45483871
1/12/2021,Neenah,Kaukauna,87,51,30,6,16,6,Win,0.686567164,59.73134328,68.08
1/15/2021,Neenah,Appleton North,49,42,18,5,12,7,Win,0.535714286,26.25,31.13571429
1/16/2021,Neenah,Nicolet,70,61,31,11,21,14,Win,0.611764706,42.82352941,52.58729412
1/22/2021,Neenah,Oshkosh West,64,51,26,11,19,13,Win,0.625,40,49.025
1/23/2021,Neenah,Fond du Lac,62,41,22,8,13,7,Win,0.660377358,40.94339623,47.46792453
1/29/2021,Neenah,Hortonville,72,50,26,12,20,15,Win,0.630136986,45.36986301,54.94794521
1/30/2021,Neenah,Marshfield,64,51,27,9,20,10,Win,0.652777778,41.77777778,51.7
12/4/2020,Oshkosh North,Hortonville,74,52,28,4,15,19,Loss,0.524390244,38.80487805,44.78292683
12/5/2020,Oshkosh North,Oshkosh West,66,44,21,9,9,12,Win,0.535714286,35.35714286,39.02142857
12/8/2020,Oshkosh North,Appleton North,65,46,23,8,13,19,Loss,0.514285714,33.42857143,38.50971429
12/11/2020,Oshkosh North,Kimberly,76,53,27,8,12,22,Loss,0.493670886,37.51898734,42.02126582
12/12/2020,Oshkosh North,Ashwaubenon,76,45,29,3,16,18,Win,0.592105263,45,52.2
12/15/2020,Oshkosh North,Fond du Lac,69,47,24,2,9,15,Loss,0.47826087,33,36.27130435
12/18/2020,Oshkosh North,Kaukauna,74,62,28,13,12,18,Win,0.506329114,37.46835443,42.08607595
12/21/2020,Oshkosh North,Neenah,56,25,13,3,12,13,Loss,0.531914894,29.78723404,34.63829787
12/29/2020,Oshkosh North,Beaver Dam,75,50,24,4,12,16,Loss,0.486486486,36.48648649,40.92324324
12/30/2020,Oshkosh North,Appleton West,76,54,27,12,24,13,Win,0.64556962,49.06329114,60.83848101
1/8/2021,Oshkosh North,Oshkosh West,50,40,14,4,9,11,Loss,0.410714286,20.53571429,23.345
1/9/2021,Oshkosh North,Milton,72,50,26,6,12,11,Loss,0.567164179,40.8358209,46.00835821
1/12/2021,Oshkosh North,Appleton West,83,61,29,17,15,13,Win,0.611111111,50.72222222,57.68888889
1/15/2021,Oshkosh North,Hortonville,55,54,19,10,13,23,Loss,0.4,22,25.952
1/22/2021,Oshkosh North,Kimberly,66,51,21,8,11,16,Loss,0.457142857,30.17142857,33.99314286
1/23/2021,Oshkosh North,Appleton East,72,50,23,6,13,7,Loss,0.5625,40.5,46.0575
1/26/2021,Oshkosh North,Appleton East,89,51,32,5,15,11,Win,0.652777778,58.09722222,65.53888889
1/29/2021,Oshkosh North,Fond du Lac,74,54,29,10,13,11,Loss,0.617647059,45.70588235,51.80823529
1/30/2021,Oshkosh North,West Bend East,64,47,22,11,8,14,Loss,0.517241379,33.10344828,36.24827586
12/4/2020,Oshkosh West,Kaukauna,63,58,25,8,15,14,Loss,0.506329114,31.89873418,37.67088608
12/5/2020,Oshkosh West,Oshkosh North,62,48,23,12,22,17,Loss,0.6,37.2,47.232
12/8/2020,Oshkosh West,Kimberly,54,49,21,8,9,22,Loss,0.416666667,22.5,25.35
12/11/2020,Oshkosh West,Neenah,51,38,16,6,10,21,Loss,0.412698413,21.04761905,24.18412698
12/15/2020,Oshkosh West,Appleton West,71,54,29,8,15,14,Win,0.586666667,41.65333333,48.34133333
12/18/2020,Oshkosh West,Appleton East,53,43,19,4,12,16,Loss,0.462686567,24.52238806,28.74208955
12/19/2020,Oshkosh West,Wisconsin Rapids,77,65,30,14,14,7,Win,0.611111111,47.05555556,53.55777778
12/21/2020,Oshkosh West,Appleton North,69,38,23,2,18,19,Win,0.561643836,38.75342466,46.43671233
12/22/2020,Oshkosh West,De Pere,50,39,19,3,10,9,Win,0.527272727,26.36363636,30.37090909
1/5/2021,Oshkosh West,Hortonville,64,52,24,12,16,16,Loss,0.555555556,35.55555556,42.31111111
1/8/2021,Oshkosh West,Oshkosh North,65,46,21,6,14,8,Win,0.564516129,36.69354839,42.7
1/12/2021,Oshkosh West,Fond du Lac,57,54,23,9,12,7,Loss,0.546875,31.171875,36.159375
1/15/2021,Oshkosh West,Kaukauna,52,57,19,11,12,10,Loss,0.455882353,23.70588235,27.86352941
1/16/2021,Oshkosh West,Germantown,68,39,26,4,9,11,Win,0.636363636,43.27272727,47.62545455
1/19/2021,Oshkosh West,Green Bay West,63,60,19,18,10,6,Win,0.5,31.5,35.3
1/21/2021,Oshkosh West,Hortonville,68,48,23,10,14,15,Win,0.552238806,37.55223881,43.4280597
1/22/2021,Oshkosh West,Neenah,47,42,16,5,6,16,Loss,0.372881356,17.52542373,19.22576271
1/25/2021,Oshkosh West,Fond du Lac,63,60,22,8,9,8,Loss,0.449275362,28.30434783,31.3773913
1/28/2021,Oshkosh West,Waunakee,63,51,19,4,10,14,Loss,0.408450704,25.73239437,28.83661972
2/2/2021,Kaukauna,Appleton East,77,57,29,10,16,3,Loss,0.681818182,52.5,60.79090909
2/2/2021,Appleton East,Kaukauna,82,45,32,2,27,10,Win,0.7375,60.475,75.6085
2/2/2021,Appleton North,Oshkosh North,64,51,20,8,18,6,Win,0.567164179,36.29850746,44.05731343
2/2/2021,Neenah,Appleton West,82,61,34,8,30,10,Win,0.688172043,56.43010753,72.12043011
2/2/2021,Hortonville,Fond du Lac,59,55,22,12,15,11,Loss,0.536231884,31.63768116,37.75072464
2/2/2021,Fond du Lac,Hortonville,67,45,24,3,14,11,Win,0.567164179,38,44.03462687
2/5/2021,Kaukauna,Oshkosh North,86,60,29,10,14,8,Win,0.597222222,51.36111111,54.99222222
2/5/2021,Oshkosh North,Kaukauna,81,52,26,4,18,12,Loss,0.564102564,45.69230769,50.83692308
2/5/2021,Appleton East,Oshkosh West,61,40,24,3,19,10,Win,0.651515152,39.74242424,44.69393939
2/5/2021,Appleton North,Fond du Lac,44,42,16,3,12,8,Loss,0.474576271,20.88135593,23.76677966
2/5/2021,Fond du Lac,Appleton North,52,42,19,5,13,9,Win,0.542372881,28.20338983,31.91322034
2/5/2021,Kimberly,Neenah,87,60,32,11,17,7,Win,0.671232877,58.39726027,61.96821918
2/5/2021,Appleton West,Green Bay West,64,62,25,13,15,11,Win,0.533333333,34.13333333,38.592
2/6/2021,Appleton West,Wausau West,37,42,11,9,5,14,Loss,0.307692308,11.38461538,14.65846154
2/6/2021,Appleton North,Green Bay Preble,60,42,16,4,9,15,Win,0.403225806,24.19354839,28.79032258
2/6/2021,Fond du Lac,Kimberly,58,46,18,1,7,6,Loss,0.431034483,25,26.96551724
2/6/2021,Kimberly,Fond du Lac,75,47,31,3,16,8,Win,0.691176471,51.83823529,56.04058824
2/6/2021,Appleton East,Homestead,53,38,20,1,14,8,Loss,0.576271186,30.54237288,34.04610169
2/8/2021,Fond du Lac,Waunakee,79,48,27,3,23,8,Win,0.657894737,51.97368421,55.97368421
2/8/2021,Kimberly,Hortonville,81,67,31,15,22,10,Win,0.630952381,51.10714286,55.90238095
2/8/2021,Appleton East,Marshfield,50,35,14,6,10,7,Win,0.52173913,26.08695652,28.8626087
2/8/2021,Neenah,Notre Dame,75,51,27,6,12,11,Win,0.573529412,43.01470588,47.80941176
