Date,DayOfWeek,WakeUp,BedTime,HoursOfSleep,PagesRead,Water,Vitamins,Creatine,FinishedSchool,HeartRate,Bible,Rosary,Weight,ScreenTime,BrushTeeth,Shower,Workout,InterviewQuestions,FruitOrVegetable,LearnedSomething,WhatWasLearned,HappinessLevelMorning,HappinessLevelNight,HappinessChange
3/22/2021,Monday,6,10.52,6.45,30,48,Yes,No,Yes,55,No,Yes,170.8,5.2,3,Yes,Yes,0,No,Yes,Accounting,7,8,1
3/23/2021,Tuesday,4.9,12.25,6.95,10,12,No,No,Yes,54,No,Yes,170.8,6.45,1,No,No,0,No,No,NA,4,4,0
3/24/2021,Wednesday,6.25,11.25,7.09,30,48,Yes,Yes,Yes,54,No,No,170.8,5.1,2,No,No,1,Yes,Yes,Monte Carlo for basketball,5,7,2
3/25/2021,Thursday,6.2,10.52,6.1,30,24,Yes,Yes,Yes,54,No,Yes,170.8,5.5,1,Yes,Yes,1,No,No,NA,8,7,-1
3/26/2021,Friday,6,9.52,6.55,20,72,Yes,No,Yes,55,No,No,171,5.9,2,Yes,Yes,0,Yes,Yes,Applying Monte Carlo,6,6,0
3/27/2021,Saturday,9.25,10.26,10.25,0,48,Yes,Yes,Yes,56,No,No,171,9.55,3,No,Yes,0,Yes,Yes,Katelyn is needed,5,7,2
3/28/2021,Sunday,6.95,10.7,7.5,20,24,Yes,Yes,No,56,No,No,171,5.2,1,No,Yes,0,Yes,Yes,Done with golf,5,5,0
3/29/2021,Monday,6.25,10.77,6.75,20,48,Yes,No,Yes,57,No,No,171,5.75,2,Yes,Yes,0,Yes,No,NA,5,4,-1
3/30/2021,Tuesday,5,10,7.55,30,12,No,No,Yes,57,No,No,171,5.25,1,No,No,0,No,Yes,Need allergy med,3,5,2
3/31/2021,Wednesday,6.25,9.99,7.25,0,24,Yes,Yes,Yes,55,No,Yes,171,5.5,1,No,No,5,Yes,Yes,Blue Prism,7,4,-3
4/1/2021,Thursday,5.25,11.4,6.52,0,24,Yes,No,No,56,No,No,171,4.1,2,Yes,Yes,0,No,No,NA,4,2,-2
4/2/2021,Friday,6,9.45,5.8,0,24,Yes,No,No,58,No,No,171,4.75,2,No,Yes,0,No,Yes,Done with golf,3,2,-1
4/3/2021,Saturday,5.75,11.35,6.77,0,18,Yes,No,No,59,No,No,171,6.25,1,No,Yes,0,No,No,NA,4,4,0
4/4/2021,Sunday,4.65,12.95,4.5,0,72,No,No,No,60,No,No,171,7.7,1,Yes,No,2,Yes,Yes,Love Green Bay,7,9,2
4/5/2021,Monday,7.95,10.23,6.75,0,96,Yes,No,Yes,62,No,No,171,4.1,2,No,Yes,0,Yes,Yes,Need Katelyn,8,7,-1
4/6/2021,Tuesday,5.15,10.02,5.95,30,24,No,No,Yes,63,No,No,171,6.48,1,No,Yes,0,No,Yes,Working out is good for me,5,7,2
4/7/2021,Wednesday,6.3,9.9,7.15,20,24,Yes,No,Yes,63,Yes,Yes,171,4.9,2,Yes,No,5,Yes,No,NA,7,7,0
4/8/2021,Thursday,6.24,10,7.4,0,24,Yes,No,No,61,Yes,Yes,171,3.6,1,No,Yes,0,No,Yes,Golf is toxic,7,4,-3
4/9/2021,Friday,6.76,10.7,7.65,0,48,Yes,No,No,64,No,No,171,4.5,0,Yes,Yes,0,No,No,NA,5,5,0
4/10/2021,Saturday,4.74,2.3,5.2,0,48,Yes,No,No,64,No,No,170,4.55,0,No,Yes,0,No,No,NA,3,7,4
4/11/2021,Sunday,9.05,10.5,6,0,24,No,No,Yes,65,No,No,170,2.2,1,Yes,No,4,Yes,Yes,Need Katelyn,6,8,2
4/12/2021,Monday,5.95,10.9,6.55,0,48,Yes,Yes,Yes,63,Yes,Yes,170,4.24,2,No,No,1,Yes,No,NA,6,5,-1
4/13/2021,Tuesday,5.2,10.77,5.74,0,12,No,No,Yes,60,No,No,167,6.55,2,No,Yes,1,Yes,No,NA,5,8,3
