,0
Half_Points_x,0.22289095980724685
First_Half_FGA_x,-0.01744425171217741
First_Half_FGM_x,0.35448461653487395
First_Half_Assists_x,-0.22018362861449284
First_Half_Offensive_Rebounds_x,-0.0016997403608112862
First_Half_Turnover_x,-0.08472096035002502
First_Half_FTA_x,0.052106317079640474
First_Half_FTM_x,-0.06915678973660795
First_Half_Assost_Ratio_x,0.005652686808015602
First_Half_Offensive_Efficiency_x,-0.005098433848186526
Half_Points_y,-0.4642593809253849
First_Half_FGA_y,0.24846321435293248
First_Half_FGM_y,0.18299116927201556
First_Half_Assists_y,0.2595516315813151
First_Half_Offensive_Rebounds_y,-0.39626967671795416
First_Half_Turnover_y,0.18994476735701082
First_Half_FTA_y,0.11251223862420176
First_Half_FTM_y,0.36339795254552926
First_Half_Assist_Ratio_y,0.021521425457733282
First_Half_Offensive_Efficiency_y,0.02235944780603293
