DateOfGame,Team,Opponent,PointsScored,FieldGoalAttempts,FieldGoalsMade,OffensiveRebounds,Assists,Turnovers,WinOrLoss,OffensiveEfficiency,EfficientPointsScored,RawEOP
2/11/2020,Neenah,Stevens Point,73,46,28,7,11,8,Win,0.672413793,49.0862069,54.70758621
2/11/2020,Appleton East,Appleton West,60,53,23,13,20,10,Win,0.614285714,36.85714286,46.19428571
2/13/2020,Hortonville,Appleton North,54,50,17,6,12,7,Loss,0.46031746,24.85714286,29.0552381
2/13/2020,Kimberly,Fond du Lac,96,61,36,10,24,2,Win,0.779220779,74.80519481,89.01818182
2/13/2020,Kaukauna,Oshkosh North,84,55,27,3,16,5,Win,0.589041096,49.47945205,56.64219178
2/13/2020,Oshkosh North,Kaukauna,73,48,25,7,10,10,Loss,0.573770492,41.8852459,46.24590164
2/14/2020,Neenah,Oshkosh West,78,46,27,4,14,11,Win,0.611940299,47.73134328,54.24238806
2/18/2020,Appleton East,Appleton North,58,51,22,5,15,6,Win,0.552238806,32.02985075,38.32537313
2/18/2020,Appleton North,Appleton East,49,36,13,3,9,8,Loss,0.44,21.56,24.5696
2/18/2020,Neenah,Kimberly,71,47,25,7,19,20,Win,0.556962025,39.5443038,47.58683544
2/18/2020,Kimberly,Neenah,49,60,18,5,5,6,Loss,0.348484848,17.07575758,18.4
2/18/2020,Kaukauna,Oshkosh West,87,57,31,3,17,8,Win,0.607594937,52.86075949,60.71088608
2/21/2020,Hortonville,Neenah,49,53,18,7,12,15,Loss,0.410958904,20.1369863,23.88493151
2/21/2020,Neenah,Hortonville,73,44,21,7,11,13,Win,0.524590164,38.29508197,42.68065574
2/21/2020,Kimberly,Kaukauna,81,51,30,6,10,7,Win,0.64516129,52.25806452,57.16129032
2/21/2020,Kaukauna,Kimberly,79,62,35,0,6,2,Loss,0.585714286,46.27142857,48.94228571
2/21/2020,Oshkosh North,Fond du Lac,92,54,27,11,8,3,Win,0.648148148,59.62962963,63.57037037
2/22/2020,Neenah,Waukesha West,77,53,29,10,13,9,Win,0.646153846,49.75384615,56.13784615
2/22/2020,Oshkosh West,Chippewa Falls,50,46,18,2,10,8,Loss,0.451612903,22.58064516,26.01290323
2/24/2020,Appleton East,Fox Valley Lutheran,53,46,18,2,12,11,Loss,0.447761194,23.73134328,27.81492537
2/27/2020,Appleton East,Kimberly,52,37,17,6,9,18,Loss,0.448275862,23.31034483,26.37655172
2/27/2020,Kimberly,Appleton East,77,57,31,9,14,6,Win,0.661764706,50.95588235,57.99705882
2/27/2020,Neenah,Kaukauna,70,59,28,17,18,9,Win,0.666666667,46.66666667,55.78666667
2/27/2020,Oshkosh North,Hortonville,71,48,24,8,5,11,Loss,0.517857143,36.76785714,38.73571429
2/27/2020,Hortonville,Oshkosh North,82,51,28,3,24,18,Win,0.577777778,47.37777778,57.91644444
3/6/2020,Appleton East,Chippewa Falls,63,51,23,5,6,13,Loss,0.446153846,28.10769231,30.14215385
3/6/2020,Neenah,Superior,88,61,33,8,19,7,Win,0.658227848,57.92405063,67.42886076
3/6/2020,Kimberly,Appleton West,76,54,27,13,20,10,Win,0.661971831,50.30985915,60.37183099
3/6/2020,Hortonville,Antigo,79,62,28,11,22,15,Win,0.568181818,44.88636364,54.38636364
3/7/2020,Kimberly,Oshkosh North,90,61,32,12,17,7,Win,0.671232877,60.4109589,69.08328767
3/7/2020,Neenah,Marshfield,63,35,21,1,11,6,Win,0.62745098,39.52941176,44.77490196
3/7/2020,Hortonville,New London,60,39,20,2,18,11,Win,0.575757576,34.54545455,42.42181818
3/12/2020,Kimberly,Eau Claire North,70,59,29,12,16,8,Win,0.633802817,44.36619718,52.07323944
3/12/2020,Neenah,Chippewa Falls,49,43,19,4,4,4,Win,0.489361702,23.9787234,25.46638298
3/12/2020,Hortonville,Mosinee,91,55,34,7,20,8,Win,0.710526316,64.65789474,75.45789474
12/1/2020,Notre Dame,Menasha,92,78,37,24,14,15,Win,0.614457831,56.53012048,63.06795181
12/3/2020,De Pere,Ashwaubenon,78,55,27,7,14,13,Win,0.546666667,42.64,48.45653333
12/5/2020,De Pere,Stevens Point,75,55,31,6,17,15,Win,0.592592593,44.44444444,52.10074074
12/7/2020,Bay Port,Pulaski,74,40,23,5,18,12,Win,0.630769231,46.67692308,55.30584615
12/8/2020,De Pere,Seymour,64,59,26,12,14,9,Win,0.571428571,36.57142857,42.65142857
12/12/2020,Bay Port,Appleton East,77,41,26,9,24,8,Win,0.78125,60.15625,74.40625
12/12/2020,Notre Dame,Appleton West,80,70,35,15,20,13,Win,0.625,50,59.5
12/12/2020,De Pere,Kaukauna,75,50,29,5,16,15,Win,0.592105263,44.40789474,51.60789474
12/15/2020,Notre Dame,Ashwaubenon,66,58,28,8,16,11,Loss,0.571428571,37.71428571,44.66285714
12/15/2020,De Pere,Pulaski,70,52,30,10,19,10,Win,0.690140845,48.30985915,58.27549296
12/18/2020,Bay Port,Ashwaubenon,74,39,20,10,18,5,Win,0.730769231,54.07692308,64.07384615
12/18/2020,De Pere,Crivitz,80,63,32,16,21,13,Win,0.654320988,52.34567901,62.78864198
12/19/2020,Notre Dame,Cedarburg,62,57,23,3,17,17,Loss,0.454545455,28.18181818,34.05454545
12/21/2020,De Pere,West De Pere,70,48,27,5,16,13,Win,0.597222222,41.80555556,49.06777778
12/22/2020,De Pere,Oshkosh West,49,41,16,7,12,10,Loss,0.5,24.5,29.06
12/22/2020,Notre Dame,Xavier,74,63,28,7,11,18,Win,0.458823529,33.95294118,37.78870588
12/23/2020,Notre Dame,Lourdes Academy,90,57,39,8,19,16,Win,0.69047619,62.14285714,72.11333333
12/29/2020,Bay Port,Seymour,63,52,19,9,17,16,Loss,0.473684211,29.84210526,35.96210526
12/29/2020,Notre Dame,West De Pere,83,59,30,12,20,15,Win,0.609756098,50.6097561,59.87804878
12/30/2020,Bay Port,Neenah,63,48,19,11,9,21,Loss,0.417910448,26.32835821,29.18686567
1/5/2021,Manitowoc Lincoln,Ashwaubenon,58,47,25,3,13,10,Loss,0.567164179,32.89552239,38.49910448
1/5/2021,Green Bay Southwest,Green Bay Preble,61,58,21,11,14,11,Loss,0.486111111,29.65277778,34.825
1/5/2021,Notre Dame,Pulaski,72,50,29,7,10,17,Win,0.557142857,40.11428571,44.34857143
1/8/2021,De Pere,Sheboygan South,69,52,26,6,20,11,Win,0.597402597,41.22077922,50.3012987
1/8/2021,Sheboygan South,De Pere,43,39,16,5,6,17,Loss,0.385964912,16.59649123,18.35649123
1/8/2021,Green Bay Southwest,Manitowoc Lincoln,56,54,21,8,13,16,Loss,0.453333333,25.38666667,29.8656
1/8/2021,Manitowoc Lincoln,Green Bay Southwest,68,59,25,13,20,12,Win,0.576923077,39.23076923,48
1/8/2021,Notre Dame,Bay Port,82,63,35,9,18,20,Loss,0.576086957,47.23913043,55.12
1/8/2021,Bay Port,Notre Dame,88,52,29,6,18,22,Win,0.546511628,48.09302326,55.56930233
1/9/2021,Notre Dame,Roncalli ,78,53,31,5,28,13,Win,0.662921348,51.70786517,65.81483146
1/9/2021,De Pere,Wrightstown,71,46,22,6,11,14,Win,0.507692308,36.04615385,40.29046154
1/12/2021,Sheboygan South,Ashwaubenon,64,45,25,4,15,14,Loss,0.571428571,36.57142857,43.08571429
1/12/2021,Bay Port,Green Bay Southwest,70,62,25,12,12,11,Win,0.506849315,35.47945205,40.10191781
1/12/2021,Green Bay Southwest,Bay Port,68,50,22,10,11,25,Loss,0.434210526,29.52631579,33.15631579
1/12/2021,Notre Dame,De Pere,54,55,21,5,16,13,Loss,0.46835443,25.29113924,30.98632911
1/12/2021,De Pere,Notre Dame,84,63,31,12,24,7,Win,0.670731707,56.34146341,68.57560976
